2	TOC Heading	مادران و دختران
629	Normal	کلاخان به دنیا آمد. سپس عروسی تومان و پاکیزه برگزار شد و او را به خانه آورد. ما هم خانواده را جدا کردیم. پس از ترک خانه، تا یک سال، مادرش نازو و من با پسرخوانده‌اش دُرخان و برادرزاده‌اش جان‌محمد یکجا زندگی کردیم. در خانه‌ی دیگر، دُرخان و خانمش قریش، جان‌محمد و همسرش شَکَر زندگی می‌کردند؛ اختر برادر دُرخان، هنوز مجرد بود. من همراه نازو سوار یک شتر شدیم و شکر و قریش سوار شتری دیگر شدند. یک مشک بزرگ پر از روغن زرد با خودم گرفتم. یک خریطه بزرگ قروت هم بود که آن را بین خود نیم کردیم.
630	Normal	پیش از عروسی‌، تومان هر شب برای «بازی» با پاکیزه می‌رفت. نازو بسیار مرا خوش داشت برای همین به او گفت: «تومان بچیم، هر شب خو نمیشه بروی، اینطوری مریم بیچاره را آزار می‌دهی. خانمت بسیار مقبول است، زن دیگر را برای چه می‌خواهی؟ نرو آنجا».
631	Normal	اما تومان گفت: «چرا نباید بروم؟ مریم در خانه است، بیا و کنار او بنشین».
632	Normal	مادرش جواب داد: «خانم جدیدت را نیاورده، چطور می‌توانی اینطور گپ بزنی، همراهت در یک خانه نمی‌مانم. چرا اینقدر با مریم بدرفتاری می‌کنی؟ چطور جرأت می‌کنی درباره زنی که برایم عزیز است اینطور گپ بزنی؟ چرا هر شب آنجا می‌روی؟ مگر خانمت خوب نیست؟ پیشش بمان، پیش آن زن نرو!».
633	Normal	حتی یک کلمه هم چیزی نگفتم؛ با خودم فکر کردم: «بگذار برود، مهم نیست».
634	Normal	نازو گفت: «چرا برود، برایت هم‌باغ می‌آورد، برایت خیلی سخت خواهد بود». بعد به تومان گفت: «هیچ می‌دانی مریم چه‌قدر  ناراحت می‌شود وقتی تو پیش آن زن می‌روی؟»
635	Normal	نازو مادرتومان به خاطر من خانه‌اش را ترک کرد و به خانه جان‌محمد رفت. نازو ده میش داشت که آن‌ها را هم با خود برد. یک خورجین بزرگ، دو نمد سیاه بزرگ، دو بالش بزرگ، یک بوجی و یک پالان خر هم داشت. تمام لباس‌ها و وسایلش را جمع کرد و چیزی به جا نگذاشت.
636	Normal	نازو و من برای دو سال با جان‌محمد در آن حویلی کنار آسیاب در کَل‌قشلاق زندگی کردیم؛ هرچند آن خانه اول از آن ما بود، اما حالا خانه حاجی غفور (کاکای تومان) است. تمام این‌ها پیش از عروسی پاخال اتفاق افتاد، اما زیتون دخترم، خدا رحمتش کند، ازدواج کرده بود و پسرانم هنوز کوچک بودند.
637	Normal	وقتی اولین بچه‌ پاکیزه به دنیا می‌آمد، در خانه پدرش بود. او را برای زایمان به خانه پس آوردند؛ خوانین (برادر ناتنی‌اش) را پشت‌سرش روی اسب سوار کردند و پسر دیگری جلوی پاکیزه نشست. ما چشم به راهش بودیم.
638	Normal	وقتی دیدم که اینطور بدرقم سوار اسب است و یک دست و یک پایش از هر طرف آویزان، نتوانستم جلوی خنده‌ام را بگیرم و گفتم: «چرا این‌طور سوار استی؟» او چیزی نگفت، خیلی خجالت‌زده بود و هر لحظه امکان زایمانش بود. او را از اسب پایین کردیم. پسرها کنجکاو بودند تا بدانند چه شده است.
639	Normal	گفتم: «نامادری‌تان مریض است! بیرون برآیید، اتاق را به دخترها ایلا کنید».
640	Normal	پسرها بیرون برآمدند و پاکیزه را داخل بردم. او را ‌طوری که زنی را هنگام زایمان نگه می‌داریم، گرفتم. یک ساعت گذشت، نوزاد هنوز به دنیا نیامده بود، برای همین به او گفتم: «پاکیزه، یک ساعت است که همینطور منتظر هستم، کمی صبر کن تا بروم چند پارچه و آب و وسایل دیگر بیاورم». به دنبال این این چیزها راه‌افتادم و از اتاق بیرون شدم.
641	Normal	پسرم نصیب، ششمین فرزندم که ـ به کوچکی پستوک بود ـ گفت: «مادر، زیاد مانده شدی، تو برو، من محکمش می‌گیرم».
642	Normal	وقتی دنبال آب رفتم، به این که نصیب می‌خواهد نامادری‌اش را محکم بگیرد، خنده‌ام گرفت! خود پاکیزه هم خنده‌اش گرفت و گفت: «بچه جان، در چه فکر استی؟» پاکیزه از کل‌قشلاق، همان‌جایی که آن زمان زندگی می‌کردیم، خانم سیجا را با خود آورده بود. آب آوردم، پارچه‌ها و وسایل را شستم و آوردم؛ و بچه به دنیا آمد.
643	Normal	پسر بود. گفتم: «یکی دیگر هم هست».
644	Normal	پاکیزه به گریان گفت: «یکی دیگه هم؟ کو که؟».
645	Normal	گفتم: «راستش را بخواهی، هنوز یک بچه دیگر داخل شکمت هست». آدم‌های زیادی آنجا نشسته بودند؛ زن‌ها، من و همسر سیجا یک طرف، و مردها، سیجا و تومان طرف دیگر نشسته بودند.
646	Normal	بعد از یک ساعت، او طفل دوم را هم به دنیا آورد، نوزاد بزرگ و سالمی بود. من با خود ‌گفتم: «شاید دوگانگی نباشد، شاید سه‌گانگی باشد!» پاکیزه گریه می‌کرد: «کجاست؟ چرا گفتی یکی دیگر هم هست؟» گفتم: «به دنیا آمد، راحت میشی بخیر!» همسر سیجا گفت: «ماشاالله، چه طفل بزرگی!» طفل به دنیا آمد، اما شب‌ها گریه می‌کرد.
647	Normal	ده روز بعد، تومان دو سه خربزه چَمبرکَش ـ خربزه‌هایی را که خانواده سیجا به ما داده بودند ـ به خانه آورد. سیجا، مهدی‌امین، پدر پاخال، و تومان و پسرانم هم بودند. من دسترخان را پهن کردم و همه دور هم جمع شدند. دوباره مثل یک خانواده شدیم ـ من و پاکیزه ـ در خیمه‌ی بزرگ خودمان با هم نشسته بودیم. خربزه‌ها را توته کردم.
648	Normal	پاکیزه خسته به نظر می‌رسید. مقداری مسکه‌ی کنجد (هیچ‌وقت چنین مسکه‌ی خوبی ندیده بودم) آب کردم و با نان به او دادم. ناگهان گفت: «نان نمی‌خورم، دلم خربزه میشه».
649	Normal	گفتم: «خربزه برایت خوب نیست، به جانت نمی‌نشیند».
650	Normal	تومان خربزه آورد، تکه کوچکی برای یکی از نوزاد‌ها برید. او گفت: «گپ چیست؟ یک لقمه خردترک به نوزاد دادم، می‌خواهی همه را به تو بدهم؟»
651	Normal	پاکیزه خربزه را خورد؛ چرا؟ می‌فهمی نانسی، او به نان و مسکه دست نزد، اما تمام آن خربزه بزرگ را خورد. کاش وقتی این داستان را تعریف می‌کنم، اینجا می‌بود! به هیچ‌کس گوش نمی‌داد. او زن بسیار احمقی است.
652	Normal	رخت‌خواب مهدی‌امین و تومان را آماده کردم، بعد بچه‌ها را خواباندم. فقط پسرانم بایه‌خان و نصیب بودند؛ قیوم و دخترم جواهر  هنوز به دنیا نیامده بودند. به پاکیزه گفتم: «بیا پهلوی من بخواب. من فکرم به یک نوزاد است، تو هم متوجه دیگری باش».
653	Normal	او گفت: «نزدیک شما نمی‌خوابم، تنها می‌خوابم و از هر دو طفل مراقبت می‌کنم». او قهر بود و از دست شوهرش تومان که آنجا خوابیده بود، عصبانی بود. آن شب، آن‌ها جدا از هم خوابیدند.
654	Normal	وقتی همه خواب رفته بودند، پاکیزه ناگهان فریاد زد: «ای خدا، خواهد مردم!»
655	Normal	گفتم: «چه شده؟»
656	Normal	گفت: «شکمم درد می‌کند، فقط بگویی که از وسط دو نیم شده!»
657	Normal	گفتم: «من که گفتمت آن همه خربزه را نخور». تمام شب، در حالی که شکمش سر و صدا می‌کرد، تا صبح بیدار بودم و هر دو نوزاد گریان را در بغل گرفته بودم. تومان در خواب عمیقی فرورفته بود، مثل اینکه هیچ گپی نشده است.
658	Normal	هنگام سپیده‌دم، وقت نماز صبح، پاکیزه استفراغ کرد. تمام آن خربزه و محتویات دیگر بیرون آمد ـ به خدا قسم، یک کاسه پوره بود. بوی بسیار تند و ترشی داشت، باید بینی‌ات را می‌گرفتی. کاسه را با تمام محتویاتش بیرون بردم و پیش سگ‌ها انداختم.
659	Normal	فریاد زد: «ای خدا، پدر و مادرم را صدا کنید که مریم مرا کشت!». اما مادرش مدت‌ها پیش فوت کرده بود، یک سال پس از فوت مادر خودم. شکمش را برایش مالیدم. من واقعاً با هم‌باغم خوب بودم! هرچند او با من خوب نبود.
660	Normal	مهدی‌امین، پدر پاخال ـ که شب آنجا مانده بود ـ بیدار بود؛ پرسید: «مریم، چه شده؟»
661	Normal	گفتم: «شکمش خیلی درد می‌کند».
662	Normal	تومان بیدار شد و صدا زد: «هی دختر گپ چیست؟» او مرا «دختر» صدا می‌کرد.
663	Normal	به او گفتم: «پاکیزه دل‌درد است. شب گفتمش که خربزه نخور، برایت خوب نیست».
664	Normal	او به پاکیزه فحش داد: «زن نفهم! خوب گفتت که نخور، بازم به گپش گوش نکردی». پسری را پشت چیزی فرستاد ـ «تیز باش، زنم در حال مردن است» ـ پسر یک بز  آورد و به سرعت آن را قربانی کردند و پوستش را کندند. روده‌هایش را روی شکم پاکیزه گذاشتم.
665	Normal	وقتی این کار را کردم، حالش بهتر شد. وقتی می‌دیدی‌اش، گویا که شکمش پاره شده و یک شکم دیگری از آن بیرون شده است؛ نوعی برآمدگی، مانند سر یک نوزاد. مثل سنگ پندیده بود. گفت: «ای خدا، چه بد کردم! پدر و مادرم کجا هستید که نزدیک بود بمیرم!» وقتی تومان داشت آن بز را قربانی می‌کرد، شکم پاکیزه خوب شد.
666	Normal	نزدیک بود بمیرد! با نگرانی زیادی به این فکر بودم که با نوزادها چه کنم؟ از خدا می‌خواستم تا این بار را بر دوش من نگذارد!». نوزادها گریه می‌کردند؛ چرا که او اصلاً به آن‌ها غذا نداده بود و به آن‌ها رسیدگی نکرده بود.
667	Normal	تومان گفت: «این‌طور نمی‌شود، او نمی‌تواند از این نوزادها مراقبت کند مگر اینکه مادرم بیاید کمک کند». برای همین پادشاه را فرستاد تا نازو را که در خانه جان‌محمد که زندگی می‌کرد، بیاورد.
668	Normal	نازو برگشت و مسئولیت مراقبت از یک نوزاد را به عهده گرفت و پاکیزه از دیگری را. یک سال گذشت، دوگانگی‌ها بزرگ شدند؛ می‌توانستند بنشینند. تا اینکه سیاه‌سرفه همه‌گیر شد. بهار بود و فصل بره‌زایی... پاکیزه به خانه برادرش خوانین رفت و در آنجا یکی از دوگانگی‌ها به سیاه‌سرفه مبتلا شد و مرد.
669	Normal	پاکیزه و نازو از نوزاد مراقبت می‌کردند؛ نوزاد بسیار خوبی بود ـ هر دوی دوگانگی‌ها خیلی مقبول بودند. پاکیزه خیلی گریه کرد؛ من و نازو هم همین‌طور، همه گریه کردیم. نوزاد دوم از سیاه‌سرفه نجات یافت، اما چند ماه بعد بر اثر سرخکان مرد. دوگانگی‌های پاکیزه، یکی پس از دیگری، مردند.
670	Normal	بعدها او دوباره باردار شد و نوزادش به دنیا آمد، اما در شکمش مرده بود. دست و پا داشت، اما سر عادی نداشت؛ فقط یک بینی کوچک و گوش‌ها، و جای خالی چشم‌ها. مثل اینکه یک جن بارها در رحم به آن ضربه زده بود و نوزاد را کشته بود.
671	Normal	آن شب که پاکیزه زایمان کرد، نازو فریاد زد: «مریم! بیا اینجا، یک دیو به دنیا آورده!». ترس تمام بدن نازو را فرا گرفته بود؛ درست بعد از مرگ دوگانگی‌هایش، پاکیزه چنین چیزی به دنیا آورده بود.
672	Normal	وقتی آن را دیدم، گفتم: «لا اله الا الله و محمد رسول الله ـ این چه رقم دیو است؟ مثل چوچه سگ است».
673	Normal	پاکیزه ناراحت شد: «چرا اینطور گپ می‌زنی؟». گفتم: «ما ترسیدیم؛ ولی خدا را شکر که مرده». آن را در پارچه‌ای پیچیدم و یکجایی گذاشتم ـ شب بود و نمی‌شد به قبرستان رفت. برای پاکیزه آتش روشن کردم. هنگام سپیده‌دم، مراسم تدفین مناسبی برایش گرفتیم. پاکیزه نوزاد را برای دفن به قبرستان برد؛ کفن کوچکی داشت.
674	Normal	به کوهستان رفتیم. پاکیزه بیچاره تنها و بی‌کس شده بود؛ دیگر چیزی برایش باقی نمانده بود، نه پسر، نه دختر، تمام فرزندانش مرده بودند. بعدها وقتی از کوهستان برگشتیم، او عبدالمنان را باردار بود، من هم قیوم را باردار بودم. وقتی که منان به دنیا آمد، زمستان و هوا بارانی بود. من قابله او بودم. گفت: «تو پیشم باش، کس دیگری را نمی‌خواهم». من با او ماندم و کمکش کردم. منان به دنیا آمد. به زودی همه جمع شدند و با تفنگ‌هایشان فیر هوایی کردند. مراسم «نشره» برگزار شد، شیرینی پخش کردیم. من هم لباس‌های مقبولی برای منان دوختم.
675	Normal	پنج ماه پس از منان، کوچک‌ترین پسرم قیوم به دنیا آمد؛ و چند سال بعد، با فرا رسیدن زمستان، دومین پسر پاکیزه، ریدی‌گل به دنیا آمد. دوباره پاکیزه مرا خواست: «کس دیگری را نمی‌خواهم، تو بیا و پیشم باش، قبول داری؟». ریدی‌گل خان به دنیا آمد. پدرش را صدا زدم و همه با خوشحالی جشن گرفتند. با تفنگ‌ فیر هوایی کردند، و سرانجام پاکیزه خوشحال شد. این دو پسر را با هم بزرگ کردیم. دو پسر پاکیزه به خوبی و خوشی بزرگ شدند. پاکیزه سه دختر هم به دنیا آورد، یکی پس از دیگری. ابتدا دخترش خورک به دنیا آمد. من در آن زایمانش نبودم، نازو با قریش و زن دیگری قابله بودند.
676	Caption	ریچارد تاپر در میان مردم محل. منطقه چنار، آگست ۱۹۷۲
677	Normal	وقتی خورک دو ساله شد، پاکیزه با تومان به کوهستان رفت ـ من در خانه با قریش و شَکَر (خواهرشوهرانم) ماندم. درست در دامنه گردنه دَنگَک، پاکیزه دومین دخترش، گل‌پیدا، را به دنیا آورد.
678	Normal	وقتی دوقلوها مردند، تومان خیلی گریه کرد. نازو به خانه جان‌محمد برگشت؛ به تومان گفتم: «مادرت را پس به خانه‌ برگردان». چند روز بعد تومان او را به خانه پس آورد و گفت: «مادر، خانه تو همین جاست». من از او خواهش کردم بماند، پاکیزه هم همین‌طور ـ تمام فرزندانش مرده بودند و همین دل نازو را به رحم آورد. او برگشت و وقتی پاکیزه را دید گریه‌اش گرفت. بعدها پاکیزه آن دو پسر را یکی پس از دیگری به دنیا آورد؛ آن‌ها سرانجام برایش مایه‌ی خوشحالی شدند. ما خیلی خوب از آن‌ها مراقبت کردیم.
679	Normal	نازو پیش از مرگش دو پسر جدید پاکیزه را دید. دختر خودش، شِراپ، فوت کرد. وقتی برادرش غوث مرد، اینقدر ناراحت نشده بود. از او پرسیدم: «نازو، دلت زیادتر پشت برادرت تنگ شده یا دخترت؟».
680	Normal	او گفت: «دخترم! دختر زرد رنگ خودم!» ـ شِراپ موهای بلوند داشت. وقتی او مرد، نازو بیمار شد و پژمرده شد؛ قلبش شکسته بود. نازو در خزان فوت کرد. وقتی قوچ‌ها را بین میش‌ها رها می‌کنیم، آن زمان مرگ نازو فرا رسید. او زن بسیار خوبی بود. برخلاف پاکیزه، من با او خیلی صمیمی بودم.
681	Normal	عادت داشتیم تا همه به کوهستان برویم؛ اما بعد از تولد منان، پاکیزه تابستان را در قریه ماند. به او گفتم: «چرا همراه تومان نمی‌روی؟ خدا را شکر، تو تازه ازدواج کرده‌ای، در حالی که من دیگر پیر شده‌ام». او گفت: «بگذار او برود، من می‌مانم». او نرفت، برای همین من رفتم. او در خانه با پدرش ماند، یا در خانه حاجی غفور، نمی‌دانم.
682	Normal	بعد از اینکه پادشاه (پسر دومم) را زن دادیم، برای چندین سال پاخال و من به کوهستان می‌رفتیم؛ ما مسکه، روغن زرد و چکه جور می‌کردیم. نمد هم می‌ساختیم. آن نمد سیاه بزرگ را می‌بینید؟ پاخال و من آن را درست کردیم و بعد آن را به پاکیزه دادم.»
683	Normal	با اینکه حالا بهبود یافته، اما از خانه بیرون نمی‌رود. به ندرت دست به کار خانه می‌زند؛ اولاد بیشتری هم که می‌خواهد. نمد درست نمی‌کند، فکر می‌کند شوهرش همه چیز را فراهم می‌کند. پاخال یا من کارهای خانه را انجام می‌دهیم، ولی هرگز نمی‌توانیم پاکیزه را وادار به انجام کاری کنیم.
684	Normal	وقتی اولین بار پاکیزه به این خانه آمد، هیچ چیز نداشت؛ نه شتر، نه گاو، نه گوسفند. خیلی فقیر بود. اما خانه‌ی من همه چیز داشت؛ من آنقدر روغن زرد داشتم که کاسه‌های زیادی را پر کرده برایش دادم. یک بره کوچک را در روغن زرد پختم؛ گوشت خام را داخل دیگ گذاشتم و پختمش. بزرگترین پسرم خانی‌آقا ـ آن زمان کوچک بود ـ آن را برای پاکیزه برد و همانجا خوردند.
685	Normal	بعدها تومان گفت: «او هیچ پشم ندارد؛ یک کمی به او بده». از این قضیه به مادرش یا قریش نگفت و مخفیانه برایش پشم خواست. گفت: «کمی پشم خوب جدا کن، برای پاکیزه می‌برم تا بتواند برای خودش دستکول، بوجی و یگان چیز دیگر جور کند». همینطور کردم و او یک بوجی بزرگ را از پشم پر کرد و شبانه برای پاکیزه برد.
686	Normal	پاخال: ما به کوهستان رفتیم، وگرنه چیزی جمع نمی‌توانستیم و برای دادن نداشتیم. حالا ببینید پاکیزه چه می‌کند؛ وقتی به کوهستان می‌رود هیچ چیز برای ما نمی‌آورد! [پاکیزه در سال ۱۹۷۱ با ما به ایلاق رفت].
687	Normal	مریم: حالا او عزیز دردانه‌اش شده است. زمانی من برای تومان خیلی عزیز بودم، اما حالا دیگر پیر و فرتوت شده‌ام و پاکیزه مجبوب اوست. پاکیزه حالا خیلی پشم جمع می‌کند، اما خودش آن را نمی‌ریسد. پیسه‌دار است، به زن‌ها پول می‌دهد تا برایش پشم را بریسند.
688	Normal	پاخال: او خیلی راحت به حاجی می‌گوید پشم بیاورد و به زن‌ها پول می‌دهد تا برایش پشم بریسند. او پیسه‌دار است. اگر ناخن‌های من بیافتد، به نظرت پادشاه به من پول می‌دهد؟
689	Normal	مریم: پادشاه به تو پیسه می‌دهد، او برادر دارد و می‌تواند هر چیزی بخواهد، تهیه کند. اما تومان مَلِک است، مردم به او هر چیز می‌دهند. من هم می‌توانم برای پشم‌ریسی پول بدهم، اما نمی‌خواهم، خودم انجام می‌دهم. پاکیزه می‌گوید: «من بچه دارم، باید برای‌شان زن پیدا کنم، هزینه عروسی‌هایشان را بپردازم و خوش بگذرانم». اما او هیچ نگرانی مالی ندارد؛ فقط پول خرج می‌کند. به مردم پول می‌دهد تا لباس و وسایلش را برایش درست کنند.
690	Normal	پاخال: او خودش لباس نمی‌دوزد. یک چرخ خیاطی خرید، بعد آن را به گل‌اپروز (برادرزاده تومان) داد تا برایش لباس بدوزد؛ هزینه آن را می‌دهد و حاجی هم پشتیبانش است.
691	Normal	مریم: حالا پاکیزه همه‌کاره است. هر جا که با تومان می‌رفتم، می‌گفت: «لازم نیست بلند شوی، آواس (خواهر تومان) و مِسرو (دختر بزرگ مریم) کارها را انجام می‌دهند». حالا همیشه می‌گوید: «پاکیزه برایم عزیز است. تو هم زمانی بودی، اما حالا پیر و فرتوت شده‌ای ولی او جوان است».
692	Normal	و من می‌گویم: «کی پیر شدم؟ چطور می‌توانی بگویی من از کار افتاده‌ شده‌ام و او جوان است؟ یک زن جوان هرگز نمی‌تواند کاری را که یک زن مسن‌ انجام می‌دهد، انجام دهد؛ زن‌های مسن‌تر کارها را به روش خودشان انجام می‌دهند، زن‌های جوان هم به روش متفاوت. از چه لحاظ او بهتر از من است؟ هیچ چیز! همه‌ی مردم دور و بر ما خویشاوندان من هستند، اما پاکیزه یک بیگانه است؛ مردمش به سختی دو سه خانواده هستند ـ حتی نمی‌دانیم از کجا هستند».
693	Normal	پادشاه و پاخال. کنجک، سپتامبر ۱۹۷۱
694	Normal	ملا جبار، پدر پاکیزه، هنگام تولد کس و کار زیادی نداشت. می‌گویند یک زن وقتی او را وقتی نوزادی به کوچکی همین اسپین بود، در مسجد رها کرده است. زن دیگری او را شیر داد و بزرگش کرد، جوان شد و ازدواج کرد. پاکیزه از نسل اوست.
695	Normal	حالا شما از این با خبر شدید. اگر پاخال گپی نمی‌زد، من هم به شما نمی‌گفتم. مردم به آدم‌هایی مثل او «ارمونی» می‌گویند، یعنی حرام‌زاده. همچنین به این‌طور آدم‌ها «مسجدی» یا «بچه‌های مسجد» می‌گویند. خب، فعلا همین آدم‌ها با این و آن خانواده خویشی دارند و دختر داده و گرفته‌اند. حالا او عزیزترین تومان است، و او هم به من می‌گوید: «دیگر تو به کارم نمی‌آیی». در واقع مرا از خانه بیرون کرده است. حالا آن‌ها به منطقه چنار (باغ‌های انگور تومان) رفته‌اند و هر دو زندگی خوبی دارند.
696	Normal	من در زندگی‌ام خیلی چیزها دیده‌ام. برادرم کهندل با کرّار، دختر حاجی غفور، ازدواج کرد. زن خوبی بود. کهندل  با کرّار «بازی» می‌کرد و دو سه سال بعد عروسی‌شان را در دشت برگزار کردیم. طبل و سُرنَی بود، گوسفندان زیادی ]برای مجلس عروسی[ آوردیم، و آنقدر برنج پخته بودند که همه تا گلو شکم‌سیر خوردند و دیگ‌ها هنوز پر مانده بودند. مادرم یک مشک پر از روغن زرد آورد که تقریباً پنج سیر بود ـ شرط می‌بندم هیچ‌کس تا به حال اینقدر روغن زرد را یکجا ندیده بود.
697	Normal	بعدها کهندل زن دیگری گرفت. هر سه یکجا می‌خوابیدند. آن دو زن بیچاره خیلی سختی کشیدند، و برای چند سال با هم دعواهای سختی می‌کردند.
698	Normal	من و پاکیزه هرگز دعوا نکرده‌ایم، حوصله‌اش را ندارم. هرگز صدایم را سر او بلند نمی‌کنم. برایم مهم نیست که او با تومان می‌خوابد. اما کرّار تمام عمرش در مشکل بود؛ او با تهدید به خودکشی برادرم را جان به لب کرد. برادرم را سرزنش می‌کرد، وسایل هم‌باغش را هر سو می‌انداخت، و وقتی پسرخوانده‌اش می‌خواست بخوابد، او را بلند می‌کرد و به اطراف پرت می‌کرد. همه یکجا می‌خوابیدند. ولی وقتی مردی زن دوم می‌گیرد، نباید چنین کند. وگرنه باید منتظر همین وضعیت باشد.
701	Heading 1	‌بیست‌و ‌پنج‌سال در خدمت صداهای جنوب جهانی؛ پشت پرده ترجمه‌ی ادبیات داستانی فارسی در غرب در گفتگو با «یوتا هِمِل‌غایش»
702	p1	اشـاره: برنامـه «ادبیـات جهـان» تـا بـه حـال از سیزده نویسـنده و مترجـم دعـوت کـرده ‌اسـت تـا در حضـور دختـران ایـن برنامـه در مـورد آثار و تجربیات‌شان صحبـت کننـد. آنچه در پی می‌آید، گفتگوی ما با یوتا هِمِل‌غایش، مترجم ادبیات فارسی در آلمان است. خانم هِمِل‌غایش زندگی ادبی‌اش را وقف ترجمه‌ی ادبیات کشورهای جنوب جهانی به آلمانی کرده‌است؛ در این میان، او آثاری از شهرنوش پارسی‌پور، فریبا وفی، سپوژمی زریاب، شبنم زریاب، امیرحسن چهل‌تن و تقی اخلاقی را از فارسی به آلمانی برگردانده است. در این گفتگو به تجربه‌ی او از ادبیات داستانی فارسی، ترجمه و پشت پرده‌ی ترجمه‌ی ادبیات داستانی فارسی در غرب پرداخته‌ایم.
703	p1	یوتا هِمِل‌غایش. عکس از وب‌سایت نویسنده.
704	Normal	ضیافت الله سعیدی: جهان سپاس خانم هِمِل‌غایش که‌ وقت‌تان را در اختیار ما گذاشتید.
705	Normal	یوتا هِمِل‌غایش: من از شما تشکر میکنم بابت دعوت‌تان به این برنامه و بسیار خوشحال هستم که در این جمع حضور دارم.
706	Normal	سعیدی: وقتی من دنبال مترجم‌های فارسی ادبیات داستانی افغانستان در آلمان بودم با نام سارا خفوس و شما سر خوردم؛ خواستم گفتگویی با شما داشته باشیم. فرصت خوبی است تا بدانیم شما ادبیات افغانستان را از چه‌منظری می‌بینید. به عنوان سوال اول می‌خواستم درباره ترجمه صحبت کنیم، این‌که‌ چطور به ترجمه رو آوردید و آن‌هم مخصوصاً ترجمه از زبان فارسی.
707	Normal	هِمِل‌غایش: قبل از این که به این سوال بپردازم، می‌خواستم از شما تشکر کنم. با وجودی که با مشکلات روبرو هستید، مخصوصا فشار های مالی، روحی و اجتماعی، واقعاً کار بزرگی انجام می‌دهید. کاش ما هم فرصت داشته باشیم تا از این کارها بیشتر انجام می‌دادیم. تحسین می‌کنم و تبریک می‌گویم. امیدوارم بتوانید این کار را ادامه بدهید چون واقعاً کار مهمی است. من ویژه‌نامه‌ی قبلی دختران را خواندم؛ کار بسیار بزرگی است و امیدوارم بتوانید ادامه بدهید.
708	Normal	شما پرسیدید که من چطور مترجم شده‌ام؟ واقع  این است که من این سوال را از خودم بارها پرسیده‌ام. وقتی جوان بودم، یعنی زمانی که دانش‌آموز دبیرستان بودم، در صنف‌های جغرافیه و صنف‌های زبان انگلیسی متوجه می‌شدم که دنیا پر از بی‌عدالتی و ستم است و تفاوت های زیادی میان شمال و جنوب جهان دیده می‌شود. فشار زیادی از طرف شمال به جنوب وارد می‌شود. اگر اجازه بدهید یک مثال از صنف زبان انگلیسی بدهم. قسمتی از کتاب «مرد نامرئی» اثر نویسنده‌ی امریکایی «رالف الیسون» درسی از کتاب درسی زبان انگلیسی ما در صنف هفتم بود. قهرمان این کتاب خوشحال در جاده‌های هارلم نیویورک قدم می‌زد و می‌خواست از زندگى خود لذت ببرد اما اتفاقا متوجه انعکاس خودش در شیشه‌ی یک فروش‌گاه می‌شود و در می‌یابد که به عنوان یک سیاه پوست آمریکایی -با این رنگ پوست‌اش- اصلاً اجازه ندارد از زندگى خود لذت ببرد. این کشف و تجربه‌ی بسیار مهمی بود برای من. اولا نشان داد که ادبیات می‌تواند چه نقش مهمی بازی کند و بر مخاطبش چه تاثیری بگذارد. در ثانی، حوادث رمان به من نشان داد که دنیا چه‌قدر ناعادلانه است. من هم خواستم صدایی به کسانی بدهم که انگار در این‌جا، در شمال جهانی، صدایی ندارند و چون علاقه به زبان داشتم و زبان‌های فرانسوی، انگلیسی و اسپانیایی را یاد می‌گرفتم، وارد این مسیر شدم.
709	Normal	از اولین جمله فارسی گرفته که با کمک «صدای ایران» آموخته ام -چون آن زمان نه ایترنت وجود داشت و نه رسانه های مجازی- تا جدیدترین رمانی که از زبان فارسی ترجمه کرده ام، چند دهه گذشت. اوایل جمله‌ی معروفی از برنامه موسیقی صدای ایران را تازه آموخته بودم: «این بود گل های رنگارنگ، برنامه شماره پنج صد و بیست وپنج». وقتی این جمله را می‌گفتم باعث خنده‌ دوستان ایرانی‌ام می‌شد چون نه انتظار شنیدنش را داشتند و نه هم تلفظم دقیق بود. ولی با این حال، تصمیم گرفتم آموختن زبان زیبای فارسی را ادامه بدهم و در طول سال ها، حتی مترجم ادبی هم  شده‌ام.
710	Normal	اولین کتابی که ترجمه کردم، کتابی بود از استنلی نیامفوکودزا، نویسنده‌ای از زیمبابوه. چند داستان کوتاه بود تحت عنوان «اگر خدا زن بود». ترجمه‌ی این اثر به خواهش ناشری اتفاق رقم خورد و بعد از نشرش، چندین کتاب دیگر از نویسندگان افریقایی از جمله کینیا، سودان، رواندا و هایتی را ترجمه کردم تا این‌که روزی در سال 1999 یک ناشر سویسی از من پرسید که آیا علاقه دارم کتاب «کوه مرا صدا زد» از محمد رضا بایرامی را ترجمه کنم. این کتاب بایرامی برای خوانندگان نوجوان نوشته شده‌بود؛ شروع کردم به ترجمه کتاب و از قدم‌های اول رسیدم به امروز، که گاهی هنوز فکر می‌کنم که دارم قدم‌های اول را بر‌می‌دارم. ولی انسان باید به پیش برود و‌ با تجربه‌های بیشتری پیشرفت کند.
